"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 25, 2019","2,788.26","2,794.84","2,794.84","2,775.72","-","-0.06%"
"Apr 24, 2019","2,790.05","2,795.32","2,799.13","2,789.06","-","-0.22%"
"Apr 23, 2019","2,796.08","2,773.64","2,798.26","2,772.55","-","0.89%"
"Apr 22, 2019","2,771.39","2,762.47","2,772.58","2,760.22","-","0.11%"
"Apr 18, 2019","2,768.36","2,766.09","2,771.31","2,755.56","-","0.16%"
"Apr 17, 2019","2,763.93","2,781.10","2,781.10","2,759.38","-","-0.26%"
"Apr 16, 2019","2,771.10","2,776.02","2,779.67","2,765.26","-","0.04%"
"Apr 15, 2019","2,770.11","2,772.71","2,773.43","2,761.51","-","-0.05%"
"Apr 12, 2019","2,771.61","2,763.35","2,774.23","2,763.17","-","0.66%"
"Apr 11, 2019","2,753.52","2,757.23","2,757.79","2,747.69","-","0.01%"
"Apr 10, 2019","2,753.28","2,746.64","2,754.41","2,744.57","-","0.38%"
"Apr 09, 2019","2,742.87","2,752.18","2,752.18","2,738.61","-","-0.61%"
"Apr 08, 2019","2,759.77","2,753.71","2,759.77","2,745.16","-","0.11%"
"Apr 05, 2019","2,756.77","2,748.83","2,757.11","2,747.81","-","0.47%"
"Apr 04, 2019","2,743.90","2,739.61","2,745.95","2,732.02","-","0.18%"
"Apr 03, 2019","2,739.06","2,741.15","2,750.08","2,731.30","-","0.23%"
"Apr 02, 2019","2,732.65","2,733.46","2,734.96","2,724.58","-","-0.01%"
"Apr 01, 2019","2,732.85","2,715.99","2,734.79","2,715.99","-","1.16%"
"Mar 29, 2019","2,701.54","2,695.11","2,702.85","2,687.59","-","0.67%"
"Mar 28, 2019","2,683.45","2,677.43","2,687.48","2,667.94","-","0.37%"
"Mar 27, 2019","2,673.59","2,688.18","2,692.55","2,656.95","-","-0.47%"
"Mar 26, 2019","2,686.23","2,679.73","2,697.03","2,672.73","-","0.72%"
"Mar 25, 2019","2,666.96","2,665.20","2,677.72","2,654.68","-","-0.10%"
"Mar 22, 2019","2,669.59","2,713.27","2,713.27","2,669.58","-","-1.93%"
"Mar 21, 2019","2,722.12","2,688.86","2,727.00","2,686.37","-","1.10%"
"Mar 20, 2019","2,692.37","2,699.73","2,710.40","2,681.16","-","-0.37%"
"Mar 19, 2019","2,702.41","2,708.28","2,721.22","2,694.12","-","0.05%"
"Mar 18, 2019","2,701.02","2,692.59","2,703.55","2,690.69","-","0.38%"
"Mar 15, 2019","2,690.88","2,681.38","2,698.32","2,681.10","-","0.49%"
"Mar 14, 2019","2,677.89","2,680.05","2,683.71","2,673.49","-","-0.09%"
"Mar 13, 2019","2,680.33","2,669.68","2,690.17","2,669.68","-","0.69%"
"Mar 12, 2019","2,661.99","2,658.52","2,668.40","2,657.64","-","0.30%"
"Mar 11, 2019","2,654.11","2,623.81","2,654.55","2,623.81","-","1.48%"
"Mar 08, 2019","2,615.45","2,604.22","2,616.26","2,595.95","-","-0.21%"
"Mar 07, 2019","2,620.95","2,637.66","2,637.76","2,611.96","-","-0.81%"
"Mar 06, 2019","2,642.25","2,660.27","2,660.64","2,639.95","-","-0.67%"
"Mar 05, 2019","2,659.96","2,664.18","2,666.36","2,653.71","-","-0.12%"
